'a'ba'la'ba'la'da'mi'gong 阿巴拉巴拉大迷宫
'a'er'ji'ke'he'ni'mei'ya 阿尔基克和妮美雅
'a'er'ji'ke'xun'yi'cao 阿尔基克薰衣草
'a'er'ji'ke'xun'yi'cao'zhong'zi 阿尔基克薰衣草种子
'a'er'ka 阿尔卡
'a'er'ka'si 阿尔卡斯
'a'er'ke'nuo'si'te 阿尔科诺斯特
'a'er'ke'nuo'si'te'di 阿尔科诺斯特笛
'a'er'ke'nuo'si'te'zhi'ying 阿尔科诺斯特之影
'a'er'ke'you'ni'shen'gan 阿耳刻悠妮神竿
'a'er'ke'you'ni'shen'gan'hua'guang 阿耳刻悠妮神竿华光
'a'er'ke'you'ni'shen'gan'shang'pin 阿耳刻悠妮神竿上品
'a'er'ma'si'ti 阿尔马斯提
'a'er'ma'si'ti'bi'ji 阿尔马斯提哔叽
'a'er'ma'si'ti'mao 阿尔马斯提毛
'a'er'ma'si'ti'shou'tao 阿尔马斯提手套
'a'er'man'tai'er 阿耳曼泰尔
'a'er'se'yi'si 阿尔瑟伊斯
'a'er'ta'ni 阿儿塔尼
'a'er'ti'ke 阿尔提克
'a'er'zha'da'er'a'shu'tuo'hua 阿尔扎达尔阿输陀花
'a'er'zha'da'er'da'jie 阿尔扎达尔大街
'a'er'zha'da'er'fu'shi'gui 阿尔扎达尔腐尸鬼
'a'er'zha'da'er'hai'di'yi'ji'qun 阿尔扎达尔海底遗迹群
'a'er'zha'da'er'jin'gang'wei 阿尔扎达尔金刚尾
'a'er'zha'da'er'miao 阿尔扎达尔庙
'a'er'zha'da'er'miao'qian 阿尔扎达尔庙前
'a'er'zha'da'er'ni'tai'guai 阿尔扎达尔拟态怪
'a'er'zha'da'er'san'shi'bao'wu'dian 阿尔扎达尔三世宝物殿
'a'er'zha'da'er'shi'si'shi'zhao'du 阿尔扎达尔十四世爪督
'a'er'zha'da'er'shou'hu'zhe 阿尔扎达尔守护者
'a'er'zha'da'er'tie'bi 阿尔扎达尔铁壁
'a'er'zha'da'er'wei'xiang 阿尔扎达尔卫像
'a'er'zha'da'er'zhang'wei'shen'hou 阿尔扎达尔长尾神猴
'a'fa'ji 阿法基
'a'ga'tuo'si 阿伽托斯
'a'ge'di'si'ti'si 阿格狄斯提斯
'a'ge'la'e'po 阿格拉俄珀
'a'ge'la'fu'ti'si 阿格拉弗缇丝
'a'ge'lai'ya'ci'shi 阿格莱亚雌狮
'a'ge'lai'ya'shuang'shi 阿格莱亚双狮
'a'ge'lai'ya'xiong'shi 阿格莱亚雄狮
'a'ge'li'e'si'hao'de'yan'jiu'ren'wu 阿格里俄斯号的研究任务
'a'ge'li'pa 阿格里帕
'a'hu'la 阿胡拉
'a'hu'la'ma'zi'da 阿胡拉马兹达
'a'hua'tan 阿华坦
'a'ji 阿姬
'a'ji'lu'er'fu 阿吉卢尔夫
'a'ji'zi'la'qi'jian'dao 阿济兹拉旗舰岛
'a'ji'zi'yu 阿济兹鱼
'a'jia'ma'zhi'zhang 阿迦玛之掌
'a'jia'si'zhi'ying 阿加斯之影
'a'jia'tuo'si 阿伽托斯
'a'jie'te 阿杰特
'a'ka'mo'te 阿卡莫特
'a'ke'ba'ba 阿克巴巴
'a'ke'la'ta 阿科拉塔
'a'ke'rong 阿刻戎
'a'ke'te'xiu'ti'mu 阿科特修提姆
'a'la'ji'li 阿拉基利
'a'la'ji'li'de'en'ren 阿拉基利的恩人
'a'la'ji'li'de'jun'shi'hui'yi 阿拉基利的军事会议
'a'la'ji'li'shui'yuan'di 阿拉基利水源地
'a'la'jia'na 阿拉加纳
'a'la'jia'na'de'ju'min 阿拉加纳的居民
'a'la'jia'na'de'sheng'huo 阿拉加纳的生活
'a'la'ke'nie 阿剌克涅
'a'la'ke'nie'zhi'wang 阿剌克涅之网
'a'la'mi'ge 阿拉米格
'a'la'mi'ge'chang'gong 阿拉米格长弓
'a'la'mi'ge'chang'wai'yi 阿拉米格长外衣
'a'la'mi'ge'ci'jian 阿拉米格刺剑
'a'la'mi'ge'da'dao 阿拉米格大刀
'a'la'mi'ge'da'di'bao'tou'jin 阿拉米格大地包头巾
'a'la'mi'ge'da'di'da'di'ku 阿拉米格大地打底裤
'a'la'mi'ge'da'di'pi'xie 阿拉米格大地皮鞋
'a'la'mi'ge'da'di'shou'tao 阿拉米格大地手套
'a'la'mi'ge'da'di'wai'tao 阿拉米格大地外套
'a'la'mi'ge'de'nian'qing'ren 阿拉米格的年轻人
'a'la'mi'ge'diao'gan 阿拉米格钓竿
'a'la'mi'ge'duan'dai'yu 阿拉米格缎带鱼
'a'la'mi'ge'duan'tou'jian 阿拉米格断头剑
'a'la'mi'ge'dui'quan 阿拉米格对拳
'a'la'mi'ge'er'zhui 阿拉米格耳坠
'a'la'mi'ge'fa'zhang 阿拉米格法杖
'a'la'mi'ge'feng'zhen 阿拉米格缝针
'a'la'mi'ge'fu'bing 阿拉米格斧兵
'a'la'mi'ge'gong'bing 阿拉米格弓兵
'a'la'mi'ge'gong'yi'chui 阿拉米格工艺锤
'a'la'mi'ge'gui'zu'jie 阿拉米格贵族街
'a'la'mi'ge'he'zui'chu 阿拉米格鹤嘴锄
'a'la'mi'ge'heng'tou'chui 阿拉米格横头锤
'a'la'mi'ge'huo'qiang 阿拉米格火枪
'a'la'mi'ge'ji'shu'bing 阿拉米格技术兵
'a'la'mi'ge'jian'guo 阿拉米格煎锅
'a'la'mi'ge'jie'fang'jun 阿拉米格解放军
'a'la'mi'ge'jie'fang'jun'zhan'shi 阿拉米格解放军战士
'a'la'mi'ge'jie'zi 阿拉米格芥子
'a'la'mi'ge'jie'zi'zhong'zi 阿拉米格芥子种子
'a'la'mi'ge'jing'zhun'ban'zhi'hu'shou 阿拉米格精准半指护手
'a'la'mi'ge'jing'zhun'duan'qun 阿拉米格精准短裙
'a'la'mi'ge'jing'zhun'er'zhui 阿拉米格精准耳坠
'a'la'mi'ge'jing'zhun'jie'zhi 阿拉米格精准戒指
'a'la'mi'ge'jing'zhun'mao'mao 阿拉米格精准毛帽
'a'la'mi'ge'jing'zhun'shou'zhuo 阿拉米格精准手镯
'a'la'mi'ge'jing'zhun'wai'tao 阿拉米格精准外套
'a'la'mi'ge'jing'zhun'xiang'huan 阿拉米格精准项环
'a'la'mi'ge'jing'zhun'yao'dai 阿拉米格精准腰带
'a'la'mi'ge'jing'zhun'zhan'xue 阿拉米格精准战靴
'a'la'mi'ge'juan'bu 阿拉米格绢布
'a'la'mi'ge'li'se'fu'zhuang'tao'zhuang 阿拉米格莉瑟服装套装
'a'la'mi'ge'meng'niu 阿拉米格猛牛
'a'la'mi'ge'mian'sha'yu 阿拉米格面纱鱼
'a'la'mi'ge'mo'dao'dian 阿拉米格魔导典
'a'la'mi'ge'mo'dao'shu 阿拉米格魔导书
'a'la'mi'ge'mu'zhang 阿拉米格牧杖
'a'la'mi'ge'qiang'bing 阿拉米格枪兵
'a'la'mi'ge'qiang'gong'er'zhui 阿拉米格强攻耳坠
'a'la'mi'ge'qiang'gong'jie'zhi 阿拉米格强攻戒指
'a'la'mi'ge'qiang'gong'shou'zhuo 阿拉米格强攻手镯
'a'la'mi'ge'qiang'gong'xiang'huan 阿拉米格强攻项环
'a'la'mi'ge'qiang'xi'ban'zhi'hu'shou 阿拉米格强袭半指护手
'a'la'mi'ge'qiang'xi'da'di'ku 阿拉米格强袭打底裤
'a'la'mi'ge'qiang'xi'duan'yi 阿拉米格强袭短衣
'a'la'mi'ge'qiang'xi'tou'dai 阿拉米格强袭头带
'a'la'mi'ge'qiang'xi'yao'dai 阿拉米格强袭腰带
'a'la'mi'ge'qiang'xi'zhan'xue 阿拉米格强袭战靴
'a'la'mi'ge'qiao'jiang'bao'tou'jin 阿拉米格巧匠包头巾
'a'la'mi'ge'qiao'jiang'da'di'ku 阿拉米格巧匠打底裤
'a'la'mi'ge'qiao'jiang'gong'zuo'kan'jian 阿拉米格巧匠工作坎肩
'a'la'mi'ge'qiao'jiang'pi'xie 阿拉米格巧匠皮鞋
'a'la'mi'ge'qiao'jiang'shou'tao 阿拉米格巧匠手套
'a'la'mi'ge'qu'jian 阿拉米格曲剑
'a'la'mi'ge'ren'ju'zhu'qu 阿拉米格人居住区
'a'la'mi'ge'ren'zhi'yuan'bing 阿拉米格人志愿兵
'a'la'mi'ge'sa'man 阿拉米格萨满
'a'la'mi'ge'shou'fu 阿拉米格手斧
'a'la'mi'ge'shou'ju 阿拉米格手锯
'a'la'mi'ge'ta'dun 阿拉米格塔盾
'a'la'mi'ge'tian'qiu'yi 阿拉米格天球仪
'a'la'mi'ge'wang'gong 阿拉米格王宫
'a'la'mi'ge'wang'gong'shen'chu 阿拉米格王宫深处
'a'la'mi'ge'wang'gong'ting'yuan 阿拉米格王宫庭园
'a'la'mi'ge'wang'gong'wu'ding'ting'yuan 阿拉米格王宫屋顶庭园
'a'la'mi'ge'wang'li'fei'kong'ting'zhuo'lu'chang 阿拉米格王立飞空艇着陆场
'a'la'mi'ge'wu'shi'dao 阿拉米格武士刀
'a'la'mi'ge'xian'wei 阿拉米格纤维
'a'la'mi'ge'xiao'dao 阿拉米格小刀
'a'la'mi'ge'yan 阿拉米格盐
'a'la'mi'ge'yan'yan 阿拉米格岩盐
'a'la'mi'ge'yi'yong'jun'yong'de'wu'qi 阿拉米格义勇军用的武器
'a'la'mi'ge'yong'zhou'ban'zhi'hu'shou 阿拉米格咏咒半指护手
'a'la'mi'ge'yong'zhou'duan'qun 阿拉米格咏咒短裙
'a'la'mi'ge'yong'zhou'er'zhui 阿拉米格咏咒耳坠
'a'la'mi'ge'yong'zhou'jie'zhi 阿拉米格咏咒戒指
'a'la'mi'ge'yong'zhou'pi'mao'mao 阿拉米格咏咒皮毛帽
'a'la'mi'ge'yong'zhou'shou'zhuo 阿拉米格咏咒手镯
'a'la'mi'ge'yong'zhou'wai'tao 阿拉米格咏咒外套
'a'la'mi'ge'yong'zhou'xiang'huan 阿拉米格咏咒项环
'a'la'mi'ge'yong'zhou'yao'dai 阿拉米格咏咒腰带
'a'la'mi'ge'yong'zhou'zhan'xue 阿拉米格咏咒战靴
'a'la'mi'ge'you'ji'ban'zhi'hu'shou 阿拉米格游击半指护手
'a'la'mi'ge'you'ji'da'di'ku 阿拉米格游击打底裤
'a'la'mi'ge'you'ji'liang'xie 阿拉米格游击凉鞋
'a'la'mi'ge'you'ji'mao'mao 阿拉米格游击毛帽
'a'la'mi'ge'you'ji'shu'yao'lie'yi 阿拉米格游击束腰猎衣
'a'la'mi'ge'you'ji'yao'dai 阿拉米格游击腰带
'a'la'mi'ge'yu'di'ban'zhi'hu'shou 阿拉米格御敌半指护手
'a'la'mi'ge'yu'di'da'di'ku 阿拉米格御敌打底裤
'a'la'mi'ge'yu'di'er'zhui 阿拉米格御敌耳坠
'a'la'mi'ge'yu'di'jie'zhi 阿拉米格御敌戒指
'a'la'mi'ge'yu'di'shou'zhuo 阿拉米格御敌手镯
'a'la'mi'ge'yu'di'tou'jia 阿拉米格御敌头甲
'a'la'mi'ge'yu'di'wai'tao 阿拉米格御敌外套
'a'la'mi'ge'yu'di'xiang'huan 阿拉米格御敌项环
'a'la'mi'ge'yu'di'yao'dai 阿拉米格御敌腰带
'a'la'mi'ge'yu'di'zhan'xue 阿拉米格御敌战靴
'a'la'mi'ge'yuan'ge'dao 阿拉米格圆革刀
'a'la'mi'ge'yuan'tou'chui 阿拉米格圆头锤
'a'la'mi'ge'zhan'fu 阿拉米格战斧
'a'la'mi'ge'zhang'gong 阿拉米格长弓
'a'la'mi'ge'zhang'wai'yi 阿拉米格长外衣
'a'la'mi'ge'zheng'liu'qi 阿拉米格蒸馏器
'a'la'mi'ge'zheng'men'gong'fang 阿拉米格正门攻防
'a'la'mi'ge'zhi'di'ban'zhi'hu'shou 阿拉米格制敌半指护手
'a'la'mi'ge'zhi'di'da'di'ku 阿拉米格制敌打底裤
'a'la'mi'ge'zhi'di'duan'yi 阿拉米格制敌短衣
'a'la'mi'ge'zhi'di'tou'jia 阿拉米格制敌头甲
'a'la'mi'ge'zhi'di'yao'dai 阿拉米格制敌腰带
'a'la'mi'ge'zhi'di'zhan'xue 阿拉米格制敌战靴
'a'la'mi'ge'zhi'yu'ban'zhi'hu'shou 阿拉米格治愈半指护手
'a'la'mi'ge'zhi'yu'da'di'ku 阿拉米格治愈打底裤
'a'la'mi'ge'zhi'yu'er'zhui 阿拉米格治愈耳坠
'a'la'mi'ge'zhi'yu'jie'zhi 阿拉米格治愈戒指
'a'la'mi'ge'zhi'yu'liang'xie 阿拉米格治愈凉鞋
'a'la'mi'ge'zhi'yu'pi'mao'mao 阿拉米格治愈皮毛帽
'a'la'mi'ge'zhi'yu'shou'zhuo 阿拉米格治愈手镯
'a'la'mi'ge'zhi'yu'shu'yao'lie'yi 阿拉米格治愈束腰猎衣
'a'la'mi'ge'zhi'yu'xiang'huan 阿拉米格治愈项环
'a'la'mi'ge'zhi'yu'yao'dai 阿拉米格治愈腰带
'a'la'mu'te'cheng'xia 阿拉木特城下
'a'la'pa'ge'yi'ji 阿剌帕各遗迹
'a'lai'mu'bei 阿莱姆贝
'a'lai'wen'de'yao'cao'bu'ji 阿莱温的药草补剂
'a'lei'en'wa'er'de 阿雷恩瓦尔德
'a'lei'en'wa'er'de'lun'ti'nu'si 阿雷恩瓦尔德伦提努斯
'a'lei'ke'tuo 阿勒刻托
'a'lei'suo'ni'de'ge'gong 阿蕾索妮的歌弓
'a'li'ao'ke 阿里奥克
'a'li'da'wu'si 阿里达乌斯
'a'li'da'wu'si'zhi'li 阿里达乌斯之力
'a'li'da'wu'si'zhi'shi 阿里达乌斯之时
'a'li'da'wu'si'zhi'su 阿里达乌斯之速
'a'li'da'wu'si'zhi'yi 阿里达乌斯之翼
'a'li'da'wu'si'zhu'mi'yao 阿里达乌斯主密钥
'a'li'kan'tuo 阿利坎托
'a'li'ma'wu'si 阿里马乌斯
'a'li'sai 阿莉塞
'a'li'sai'de'sheng'yin 阿莉塞的声音
'a'li'si'de'te'zhi'cai'yao 阿莉丝的特制菜肴
'a'li'weng 阿里翁
'a'li'weng'jiao'di 阿里翁角笛
'a'li'ya'po 阿里亚珀
'a'li'ya'po'ren'ou 阿里亚珀人偶
'a'lie'ke'te'li'ang 阿列刻特利昂
'a'long'dai'te 阿隆戴特
'a'long'na'si 阿龙纳斯
'a'lu'en'shen'na 阿卢恩神纳
'a'lu'ma 阿鲁玛
'a'lu'ma'zhu'ti'qu 阿鲁玛主题曲
'a'lu'pa'de'qing'jian 阿露帕的请柬
'a'lu'xiu 阿路修
'a'ma'li'sai'shao'ta 阿马里赛哨塔
'a'ma'luo 阿马罗
'a'ma'luo'bao'bao 阿马罗宝宝
'a'ma'luo'jiao'di 阿马罗角笛
'a'ma'luo'ke 阿玛洛克
'a'ma'luo'peng 阿马罗棚
'a'ma'luo'yu'shi'zong'de'wei'bing 阿马罗与失踪的卫兵
'a'ma'luo'zhan'qiao 阿马罗栈桥
'a'ma'luo'zhan'qiao'qian 阿马罗栈桥前
'a'ma'luo'zhuang'bei'de'xiu'fu'su'cai 阿马罗装备的修复素材
'a'mang'di'na'nv'shi 阿芒迪娜女士
'a'mi'lei'dai 阿米雷戴
'a'mi'te 阿米特
'a'mu 阿穆
'a'mu'a'er'ke'er'shi 阿姆阿尔柯尔石
'a'mu'lu'ke 阿姆鲁克
'a'mu'si'te'lang 阿姆斯特朗
'a'na'ba 阿那巴
'a'nan'ta'bo'jia 阿难塔波嘉
'a'nan'tuo 阿难陀
'a'nan'tuo'sha'di'li 阿难陀刹帝利
'a'nan'tuo'wan'ou 阿难陀玩偶
'a'nan'tuo'zu 阿难陀族
'a'nan'tuo'zu'de'bao'wu 阿难陀族的宝物
'a'nan'tuo'zu'de'bi'xu'pin 阿难陀族的必需品
'a'nan'tuo'zu'de'xin'bing 阿难陀族的新兵
'a'nan'tuo'zu'dou'shi 阿难陀族斗士
'a'nan'tuo'zu'su'cai'shang'ren'qi'yue 阿难陀族素材商人契约
'a'nan'tuo'zu'wan'ou 阿难陀族玩偶
'a'nan'tuo'zu'xiu'li'gong'qi'yue 阿难陀族修理工契约
'a'nan'tuo'zu'yao'gao 阿难陀族药膏
'a'nan'tuo'zu'yong'ren'qi'yue 阿难陀族佣人契约
'a'nan'tuo'zu'za'yong'shang'ren'qi'yue 阿难陀族杂用商人契约
'a'ni'de'luo'bao'ke'guai 阿尼德罗爆壳怪
'a'ni'de'luo'bing'hai'tian'shi 阿尼德罗冰海天使
'a'ni'de'luo'ci'yu'shi 阿尼德罗刺鱼师
'a'ni'de'luo'dou'yu'shi 阿尼德罗斗鱼师
'a'ni'de'luo'shui'zhi 阿尼德罗水蛭
'a'ni'de'luo'xue'yuan 阿尼德罗学院
'a'ni'de'luo'zhan'bu'shi 阿尼德罗占卜师
'a'ni'de'luo'zhui'yi'guan 阿尼德罗追忆馆
'a'ni'luo 阿尼罗
'a'ni'luo'de'he'xin 阿尼罗的核心
'a'ni'ma 阿尼玛
'a'ni'ma'shi'kong 阿尼玛时空
'a'ni'ma'zhi'xing 阿尼玛之形
'a'ni'ma'zhi'zhao 阿尼玛之爪
'a'nu'bi'si 阿努比斯
'a'nuo'gu 阿诺古
'a'nuo'gu'de'fang'jian 阿诺古的房间
'a'pa'de'ma'ke 阿帕德马克
'a'pa'si 阿帕斯
'a'pi'si 阿匹斯
'a'pu'qie 阿普切
'a'pu'qie'de'sui'cong 阿普切的随从
'a'pu'sha'la'si 阿普沙拉斯
'a'qi'ni 阿耆尼
'a'rui'si'bi'jia 阿瑞斯臂甲
'a'rui'si'er'zhui 阿瑞斯耳坠
'a'rui'si'jie'zhi 阿瑞斯戒指
'a'rui'si'kai'xue 阿瑞斯铠靴
'a'rui'si'ma'ku 阿瑞斯马裤
'a'rui'si'shou'zhuo 阿瑞斯手镯
'a'rui'si'tou'kui 阿瑞斯头盔
'a'rui'si'xiang'huan 阿瑞斯项环
'a'rui'si'xiong'jia 阿瑞斯胸甲
'a'rui'si'yao'jia 阿瑞斯腰甲
'a'sa'ge 阿萨格
'a'shu'tuo'hua 阿输陀花
'a'si'ka'la'fu'si 阿斯卡拉福斯
'a'si'ka'long'zhi'bing 阿斯卡隆之冰
'a'si'ka'long'zhi'guang 阿斯卡隆之光
'a'si'ka'long'zhi'ren 阿斯卡隆之仁
'a'si'ka'long'zhi'wei 阿斯卡隆之威
'a'si'ka'long'zhi'yan 阿斯卡隆之焰
'a'si'ke'le'bi'e'si 阿斯克勒庇俄斯
'a'si'ke'lei'bi'e'si 阿斯克勒庇俄斯
'a'si'long'yi'ji 阿思珑遗迹
'a'si'ta'di'ya'de'bao'gong 阿丝塔蒂亚的胞宫
'a'si'ta'li'xi'ya'hao 阿斯塔利西亚号
'a'si'ta'li'xi'ya'hao'hai'dao'chuan 阿斯塔利西亚号海盗船
'a'si'te'lai'ya 阿斯特莱亚
'a'si'te'li'di 阿斯特莉蒂
'a'si'te'li'weng 阿斯忒里翁
'a'si'tei'li'weng 阿斯忒里翁
'a'su'huang 阿苏黄
'a'ta'bu 阿塔布
'a'ta'fu'qu 阿塔富区
'a'tan'tu 阿坦图
'a'te'la'si'shan'ding 阿特拉斯山顶
'a'ti'si'de'gen'zu 阿提斯的根足
'a'ti'si'de'guang'lu 阿提斯的光露
'a'ti'si'de'ju'zhi 阿提斯的巨枝
'a'ti'si'de'ye'ren 阿提斯的叶刃
'a'tu'wa'lei'er 阿图瓦雷尔
'a'tu'wa'lei'er'de'fu'er'tang 阿图瓦雷尔德福尔唐
'a'tuo'mo'si 阿托莫斯
'a'tuo'mo'si'de'rou'pian 阿托莫斯的肉片
'a'tuo'pin'bao'zi 阿托品孢子
'a'tuo'wa'de'huan'ying 阿拓瓦的幻影
'a'tuo'wa'kan'te'de'gu'hui 阿拓瓦坎特的骨灰
'a'wa'long'ni'ya'gu'lu 阿瓦隆尼亚古陆
'a'wa'long'ni'ya'hong'sha 阿瓦隆尼亚红沙
'a'wei'er'de'jie'zhi 阿维尔的戒指
'a'wei'na 阿维纳
'a'xi'pa'te'la 阿希帕特拉
'a'xia 阿夏
'a'xie'mu 阿谢姆
'a'xie'mu'zhi'nu 阿谢姆之怒
'a'xie'mu'zhi'xin 阿谢姆之心
'a'xiu 阿修
'a'xiu'luo 阿修罗
'a'xiu'luo'da'dun 阿修罗大盾
'a'xiu'luo'dou'shi'er'shi 阿修罗斗士耳饰
'a'xiu'luo'dou'shi'shou'shi 阿修罗斗士手饰
'a'xiu'luo'dou'shi'shou'shi 阿修罗斗士首饰
'a'xiu'luo'dou'shi'zhi'shi 阿修罗斗士指饰
'a'xiu'luo'gong'shi'bo'tie 阿修罗弓士钵铁
'a'xiu'luo'gong'shi'dai 阿修罗弓士带
'a'xiu'luo'gong'shi'dao'yi 阿修罗弓士道衣
'a'xiu'luo'gong'shi'er'shi 阿修罗弓士耳饰
'a'xiu'luo'gong'shi'hu'jing 阿修罗弓士护胫
'a'xiu'luo'gong'shi'hu'shou 阿修罗弓士护手
'a'xiu'luo'gong'shi'pei'dun 阿修罗弓士佩楯
'a'xiu'luo'gong'shi'shou'shi 阿修罗弓士手饰
'a'xiu'luo'gong'shi'shou'shi 阿修罗弓士首饰
'a'xiu'luo'gong'shi'zhi'shi 阿修罗弓士指饰
'a'xiu'luo'hao'shi'bo'tie 阿修罗豪士钵铁
